epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1208.58,2.46729,2.94768,1.04052,0.37207,0.14576,0.11118,0.04709,2.4636,2.38161,0.9999,0.000663551,0.000663551,0.000663551
2,2461.96,2.49887,2.17354,1.00879,0.37254,0.16583,0.13846,0.05799,2.53871,2.06181,1.05822,0.00122048,0.00122048,0.00122048
3,3707.53,2.48986,2.01893,1.02798,0.35726,0.17836,0.15326,0.06577,2.51839,1.98243,1.01619,0.0016674,0.0016674,0.0016674
4,4969.36,2.44553,1.88549,1.01805,0.40574,0.18287,0.16631,0.07822,2.45794,1.72272,1.01006,0.001505,0.001505,0.001505
5,6170.05,2.40774,1.80311,0.99257,0.38785,0.18881,0.16382,0.07891,2.44185,1.99828,0.9789,0.00134,0.00134,0.00134
6,7373.46,2.38275,1.72102,0.98453,0.46296,0.20128,0.19198,0.09068,2.36295,1.57585,0.968,0.001175,0.001175,0.001175
7,8600.89,2.3158,1.65318,0.97146,0.42871,0.2118,0.19386,0.09293,2.28104,1.56078,0.96137,0.00101,0.00101,0.00101
8,9812.93,2.20922,1.57793,0.97053,0.47131,0.21055,0.20224,0.09496,2.35073,1.55058,0.96872,0.000845,0.000845,0.000845
9,11008.9,2.19788,1.51227,0.95479,0.46699,0.21982,0.21569,0.10852,2.18333,1.45323,0.93314,0.00068,0.00068,0.00068
10,12250.5,2.15115,1.50976,0.93978,0.48209,0.21973,0.21746,0.10696,2.21973,1.45373,0.939,0.000515,0.000515,0.000515
11,13532.1,2.09624,1.42684,0.92747,0.49405,0.23372,0.23085,0.11515,2.15156,1.42242,0.92654,0.00035,0.00035,0.00035
12,14789.9,2.07064,1.38928,0.93297,0.49737,0.23111,0.23033,0.1119,2.23064,1.41164,0.94027,0.000185,0.000185,0.000185
