epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1252.47,2.34386,3.06968,0.98868,0.36767,0.16724,0.1411,0.06618,2.27222,2.2676,0.96862,0.000663551,0.000663551,0.000663551
2,2533.93,2.26831,1.99213,0.94595,0.37589,0.17943,0.14873,0.06712,2.39856,2.16105,0.9947,0.00122048,0.00122048,0.00122048
3,3750.93,2.23694,1.69209,0.93647,0.42073,0.19471,0.17466,0.08338,2.31349,1.72835,0.97671,0.0016674,0.0016674,0.0016674
4,4941.92,2.04797,1.44818,0.91142,0.43261,0.20499,0.19159,0.09181,2.17484,1.58939,0.96805,0.001505,0.001505,0.001505
5,6164.26,1.91994,1.27968,0.87984,0.43025,0.20693,0.18872,0.09543,2.18175,1.57441,0.95717,0.00134,0.00134,0.00134
6,7382.55,1.80198,1.15719,0.85729,0.4386,0.20625,0.19765,0.09658,2.16286,1.60798,0.94569,0.001175,0.001175,0.001175
7,8586.78,1.71305,1.0622,0.84647,0.46922,0.21592,0.20369,0.09859,2.17422,1.54308,0.9412,0.00101,0.00101,0.00101
8,9798.25,1.60373,0.95438,0.82913,0.4535,0.21254,0.20556,0.09967,2.13998,1.56142,0.93425,0.000845,0.000845,0.000845
9,11078.4,1.5084,0.87332,0.81615,0.47708,0.22057,0.21804,0.10907,2.09972,1.49563,0.93018,0.00068,0.00068,0.00068
10,12264.6,1.39085,0.78785,0.80319,0.47131,0.22074,0.21556,0.11012,2.08959,1.52259,0.92942,0.000515,0.000515,0.000515
11,13482.7,1.31163,0.71396,0.79157,0.46921,0.21754,0.21522,0.10914,2.081,1.55161,0.92124,0.00035,0.00035,0.00035
12,14728.9,1.1948,0.65024,0.78605,0.47199,0.21645,0.21706,0.1115,2.07977,1.58287,0.92531,0.000185,0.000185,0.000185
